date,price
2000.83,1.12
2000.92,0.9
2001.0,0.75
2001.08,0.46399999999999997
2001.17,0.46399999999999997
2001.25,0.38299999999999995
2001.33,0.387
2001.42,0.305
2001.5,0.35200000000000004
2001.5,0.27
2001.58,0.191
2001.67,0.191
2001.75,0.16899999999999998
2001.77,0.14800000000000002
2002.08,0.134
2002.08,0.207
2002.25,0.193
2002.33,0.193
2002.42,0.33
2002.58,0.193
2002.75,0.193
2003.17,0.17600000000000002
2003.25,0.076
2003.33,0.126
2003.42,0.115
2003.5,0.133
2003.58,0.129
2003.67,0.14300000000000002
2003.75,0.14800000000000002
2003.83,0.16
2003.99,0.166
2004.0,0.174
2004.08,0.14800000000000002
2004.17,0.146
2004.33,0.156
2004.42,0.203
2004.5,0.17600000000000002
2005.25,0.185
2005.42,0.149
2005.83,0.11599999999999999
2005.92,0.185
2006.17,0.11199999999999999
2006.33,0.073
2006.5,0.08199999999999999
2006.67,0.073
2006.75,0.08800000000000001
2006.83,0.098
2006.99,0.092
2007.0,0.08199999999999999
2007.08,0.078
2007.17,0.066
2007.33,0.0464
2007.5,0.0386
2007.67,0.0351
2007.75,0.0322
2007.83,0.0244
2007.92,0.0244
2008.0,0.0232
2008.08,0.022000000000000002
2008.33,0.022000000000000002
2008.5,0.0207
2008.58,0.0176
2008.67,0.0146
2008.83,0.011000000000000001
2008.92,0.0098
2009.0,0.0098
2009.08,0.0107
2009.25,0.0105
2009.42,0.0115
2009.5,0.011000000000000001
2009.58,0.0127
2009.75,0.0183
2009.92,0.0205
2010.0,0.019
2010.08,0.0202
2010.17,0.0195
2010.33,0.0242
2010.5,0.021
2010.58,0.022000000000000002
2010.75,0.0171
2010.83,0.0146
2010.92,0.0122
2011.0,0.01
2011.08,0.0103
2011.33,0.01
2011.42,0.0085
2011.67,0.0054
2011.75,0.0051
2012.0,0.0049
2012.08,0.0049
2012.25,0.005
2012.33,0.0049
2012.58,0.0048
2012.67,0.004
2012.83,0.0037
2013.0,0.0043
2013.08,0.0054
2013.33,0.0067
2013.42,0.0061
2013.58,0.0073
2013.67,0.0065
2013.75,0.0082
2013.83,0.0085
2013.92,0.0079
2014.08,0.0095
2014.17,0.0079
2014.25,0.0073
2014.42,0.0079
2014.58,0.0085
2014.67,0.0085
2014.83,0.0085
2015.0,0.0078
2015.08,0.0073
2015.25,0.0061
2015.33,0.0056
2015.5,0.0049
2015.58,0.0045
2015.67,0.0043
2015.75,0.0042
2015.83,0.0038
2015.92,0.0037
